year,city_code,city_name,全建築物計_建築物の数_（棟）,全建築物計_床面積の合計_（㎡）,Ａ_居住専用住宅_建築物の数_（棟）,Ａ_居住専用住宅_床面積の合計_（㎡）,Ｂ_居住専用準住宅_建築物の数_（棟）,Ｂ_居住専用準住宅_床面積の合計_（㎡）,Ｃ_居住産業併用建築物_建築物の数_（棟）,Ｃ_居住産業併用建築物_床面積の合計_（㎡）,Ｄ_農林水産業用建築物_建築物の数_（棟）,Ｄ_農林水産業用建築物_床面積の合計_（㎡）,E_鉱業，採石業，砂利採取業，建設業用建築物_建築物の数_（棟）,E_鉱業，採石業，砂利採取業，建設業用建築物_床面積の合計_（㎡）,Ｆ_製造業用建築物_建築物の数_（棟）,Ｆ_製造業用建築物_床面積の合計_（㎡）,G_電気・ガス・熱供給_・水道業用建築物_建築物の数_（棟）,G_電気・ガス・熱供給_・水道業用建築物_床面積の合計_（㎡）,Ｈ_情報通信業用建築物_建築物の数_（棟）,Ｈ_情報通信業用建築物_床面積の合計_（㎡）,Ｉ_運輸業用建築物_建築物の数_（棟）,Ｉ_運輸業用建築物_床面積の合計_（㎡）,J_卸売業，小売業用建築物_建築物の数_（棟）,J_卸売業，小売業用建築物_床面積の合計_（㎡）,Ｋ_金融業，保険業用建築物_建築物の数_（棟）,Ｋ_金融業，保険業用建築物_床面積の合計_（㎡）,Ｌ_不動産業用建築物_建築物の数_（棟）,Ｌ_不動産業用建築物_床面積の合計_（㎡）,Ｍ_宿泊業，飲食サービス業用建築物_建築物の数_（棟）,Ｍ_宿泊業，飲食サービス業用建築物_床面積の合計_（㎡）,Ｎ_教育，学習支援業用建築物_建築物の数_（棟）,Ｎ_教育，学習支援業用建築物_床面積の合計_（㎡）,Ｏ_医療，福祉用建築物_建築物の数_（棟）,Ｏ_医療，福祉用建築物_床面積の合計_（㎡）,Ｐ_その他のサービス業用建築物_建築物の数_（棟）,Ｐ_その他のサービス業用建築物_床面積の合計_（㎡）,Ｑ_公務用建築物_建築物の数_（棟）,Ｑ_公務用建築物_床面積の合計_（㎡）,Ｒ_他に分類されない建築物_建築物の数_（棟）,Ｒ_他に分類されない建築物_床面積の合計_（㎡）,pop_population,pop_households,pop_change,pop_growth_rate,pop_natural_change,pop_social_change
2021,01101,中央区,540.0,445404.0,397.0,186444.0,2.0,326.0,21.0,13851.0,0.0,0.0,3.0,1143.0,1.0,109.0,1.0,485.0,0.0,0.0,3.0,827.0,13.0,23021.0,2.0,33110.0,8.0,15302.0,14.0,150294.0,3.0,1690.0,12.0,10782.0,48.0,6537.0,12.0,1483.0,0.0,0.0,239944.0,146024.0,1746.0,0.7330036356308617,-707.0,2453.0
2021,01102,北区,1122.0,222450.0,1042.0,156854.0,1.0,15.0,12.0,6943.0,1.0,99.0,5.0,20884.0,1.0,1585.0,2.0,272.0,0.0,0.0,3.0,1376.0,7.0,5497.0,0.0,0.0,3.0,5140.0,1.0,602.0,11.0,10087.0,16.0,9574.0,10.0,2675.0,5.0,807.0,2.0,40.0,286054.0,153908.0,-132.0,-0.0461238495244351,-1144.0,1012.0
2021,01103,東区,1067.0,197268.0,964.0,154872.0,6.0,3655.0,11.0,5501.0,1.0,128.0,14.0,3729.0,2.0,681.0,0.0,0.0,1.0,43.0,7.0,2206.0,14.0,3257.0,0.0,0.0,4.0,913.0,6.0,237.0,5.0,8930.0,9.0,7890.0,22.0,5152.0,1.0,74.0,0.0,0.0,262298.0,144421.0,376.0,0.1435541878879971,-674.0,1050.0
2021,01104,白石区,681.0,180584.0,620.0,143374.0,1.0,367.0,11.0,6202.0,0.0,0.0,5.0,1513.0,5.0,3426.0,0.0,0.0,0.0,0.0,2.0,1028.0,7.0,2657.0,0.0,0.0,0.0,0.0,6.0,1112.0,2.0,543.0,9.0,12801.0,10.0,2609.0,3.0,4952.0,0.0,0.0,214050.0,124710.0,839.0,0.3935069016138942,-591.0,1430.0
2021,01105,豊平区,702.0,203486.0,648.0,160483.0,4.0,1492.0,12.0,7425.0,0.0,0.0,3.0,1169.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4486.0,1.0,313.0,1.0,376.0,1.0,377.0,3.0,6862.0,12.0,19945.0,13.0,420.0,1.0,94.0,0.0,0.0,224435.0,129875.0,873.0,0.3904957014161619,-582.0,1455.0
2021,01106,南区,629.0,90065.0,591.0,75042.0,5.0,1418.0,3.0,343.0,1.0,198.0,4.0,1127.0,0.0,0.0,2.0,44.0,0.0,0.0,0.0,0.0,1.0,187.0,0.0,0.0,0.0,0.0,6.0,1034.0,1.0,721.0,6.0,6291.0,3.0,49.0,6.0,3611.0,0.0,0.0,135748.0,72911.0,-810.0,-0.5931545570380351,-1165.0,355.0
2021,01107,西区,834.0,201120.0,751.0,152946.0,3.0,1534.0,4.0,2558.0,0.0,0.0,4.0,300.0,8.0,2215.0,1.0,44.0,0.0,0.0,2.0,4221.0,8.0,3168.0,0.0,0.0,7.0,721.0,3.0,1214.0,4.0,6027.0,21.0,18987.0,15.0,6346.0,3.0,839.0,0.0,0.0,218128.0,117533.0,1135.0,0.5230583475042974,-735.0,1870.0
2021,01108,厚別区,307.0,109148.0,275.0,68946.0,2.0,2633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,1.0,317.0,0.0,0.0,12.0,18518.0,11.0,18360.0,2.0,290.0,1.0,11.0,126274.0,65879.0,-968.0,-0.7607550965876047,-745.0,-223.0
2021,01109,手稲区,599.0,104550.0,561.0,68886.0,0.0,0.0,3.0,969.0,0.0,0.0,2.0,758.0,2.0,2016.0,1.0,21.0,0.0,0.0,1.0,1603.0,3.0,4306.0,0.0,0.0,6.0,202.0,2.0,196.0,5.0,15768.0,6.0,8489.0,6.0,1317.0,1.0,19.0,0.0,0.0,141974.0,70272.0,8.0,0.0056351520786667,-833.0,841.0
2021,01110,清田区,483.0,74174.0,439.0,49966.0,3.0,447.0,6.0,802.0,0.0,0.0,1.0,117.0,0.0,0.0,1.0,45.0,0.0,0.0,3.0,1084.0,8.0,11584.0,0.0,0.0,6.0,232.0,2.0,445.0,2.0,334.0,7.0,8106.0,5.0,1012.0,0.0,0.0,0.0,0.0,112670.0,53399.0,-805.0,-0.7094073584489976,-669.0,-136.0
2021,01202,函館市,978.0,157603.0,825.0,110465.0,0.0,0.0,9.0,2092.0,6.0,525.0,6.0,811.0,8.0,3733.0,4.0,1720.0,2.0,323.0,4.0,1519.0,22.0,18081.0,3.0,1897.0,2.0,134.0,6.0,840.0,9.0,5293.0,18.0,4467.0,17.0,2047.0,2.0,68.0,35.0,3588.0,251891.0,141415.0,-3417.0,-1.3383834427436665,-2584.0,-833.0
2021,01203,小樽市,383.0,79954.0,295.0,40991.0,2.0,249.0,2.0,250.0,1.0,27.0,8.0,2361.0,9.0,4848.0,1.0,263.0,1.0,43.0,7.0,8458.0,5.0,449.0,0.0,0.0,3.0,1516.0,27.0,7846.0,0.0,0.0,4.0,6602.0,6.0,4891.0,7.0,777.0,5.0,383.0,112450.0,62578.0,-1975.0,-1.7260214114048502,-1514.0,-461.0
2021,01204,旭川市,1522.0,260477.0,1346.0,180986.0,0.0,0.0,21.0,25157.0,8.0,8492.0,11.0,932.0,11.0,9457.0,2.0,212.0,5.0,4392.0,3.0,251.0,19.0,5708.0,1.0,346.0,6.0,398.0,19.0,1707.0,6.0,8548.0,35.0,9834.0,24.0,3380.0,3.0,444.0,2.0,233.0,331397.0,177937.0,-2673.0,-0.8001317089232796,-2752.0,79.0
2021,01205,室蘭市,299.0,67180.0,236.0,32315.0,0.0,0.0,4.0,591.0,0.0,0.0,5.0,487.0,17.0,15302.0,1.0,49.0,0.0,0.0,1.0,100.0,7.0,2819.0,0.0,0.0,0.0,0.0,3.0,853.0,2.0,658.0,6.0,1393.0,8.0,12196.0,0.0,0.0,9.0,417.0,81579.0,45186.0,-1398.0,-1.6848042228569362,-820.0,-578.0
2021,01206,釧路市,577.0,106443.0,489.0,65241.0,3.0,1131.0,11.0,2252.0,9.0,11333.0,7.0,1540.0,9.0,5284.0,5.0,818.0,1.0,52.0,5.0,5722.0,11.0,4841.0,0.0,0.0,1.0,108.0,0.0,0.0,2.0,1825.0,5.0,1947.0,15.0,3682.0,1.0,490.0,3.0,177.0,165667.0,94055.0,-2419.0,-1.4391442475875444,-1400.0,-1019.0
2021,01207,帯広市,844.0,154962.0,716.0,100335.0,2.0,453.0,5.0,697.0,4.0,1523.0,16.0,6231.0,9.0,4319.0,0.0,0.0,1.0,51.0,7.0,4575.0,23.0,11057.0,0.0,0.0,9.0,477.0,3.0,574.0,1.0,787.0,7.0,5922.0,37.0,16521.0,3.0,1411.0,1.0,29.0,165670.0,89041.0,-373.0,-0.2246406051444505,-774.0,401.0
2021,01208,北見市,481.0,73876.0,414.0,58237.0,0.0,0.0,6.0,1094.0,3.0,388.0,7.0,1112.0,4.0,361.0,3.0,2314.0,1.0,51.0,1.0,24.0,8.0,4608.0,0.0,0.0,0.0,0.0,1.0,183.0,12.0,519.0,3.0,283.0,13.0,3216.0,5.0,1486.0,0.0,0.0,115435.0,61671.0,-1195.0,-1.024607733859213,-916.0,-279.0
2021,01209,夕張市,4.0,4880.0,3.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4632.0,0.0,0.0,0.0,0.0,0.0,0.0,7430.0,4407.0,-339.0,-4.363495945424122,-162.0,-177.0
2021,01210,岩見沢市,259.0,44234.0,220.0,30024.0,2.0,1190.0,2.0,629.0,3.0,224.0,6.0,953.0,6.0,712.0,0.0,0.0,1.0,43.0,0.0,0.0,1.0,1399.0,0.0,0.0,3.0,608.0,0.0,0.0,0.0,0.0,3.0,714.0,4.0,2626.0,8.0,5112.0,0.0,0.0,79352.0,41493.0,-1058.0,-1.3157567466732991,-719.0,-339.0
2021,01211,網走市,143.0,22969.0,102.0,12779.0,0.0,0.0,4.0,588.0,12.0,3959.0,0.0,0.0,7.0,544.0,2.0,1259.0,0.0,0.0,0.0,0.0,2.0,181.0,1.0,51.0,1.0,292.0,0.0,0.0,2.0,1395.0,3.0,1556.0,2.0,78.0,1.0,65.0,4.0,222.0,34640.0,18226.0,-399.0,-1.138731128171466,-222.0,-177.0
2021,01212,留萌市,46.0,7815.0,25.0,3679.0,1.0,493.0,4.0,355.0,1.0,497.0,2.0,705.0,0.0,0.0,3.0,70.0,0.0,0.0,0.0,0.0,2.0,442.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,6.0,1422.0,20257.0,11307.0,-458.0,-2.210958242819213,-225.0,-233.0
2021,01213,苫小牧市,900.0,133732.0,785.0,106078.0,2.0,414.0,11.0,2231.0,9.0,1983.0,9.0,2163.0,17.0,3950.0,1.0,234.0,0.0,0.0,8.0,3125.0,14.0,2119.0,0.0,0.0,3.0,291.0,3.0,496.0,5.0,4072.0,8.0,2490.0,23.0,3633.0,1.0,441.0,1.0,12.0,170205.0,89992.0,-1037.0,-0.6055757349248433,-818.0,-219.0
2021,01214,稚内市,105.0,28038.0,64.0,6965.0,0.0,0.0,3.0,1168.0,9.0,13742.0,3.0,386.0,0.0,0.0,6.0,935.0,2.0,252.0,0.0,0.0,2.0,73.0,0.0,0.0,1.0,102.0,1.0,72.0,1.0,1652.0,0.0,0.0,0.0,0.0,4.0,1036.0,9.0,1655.0,33032.0,17635.0,-573.0,-1.705103407231067,-258.0,-315.0
2021,01215,美唄市,36.0,6330.0,26.0,3212.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,817.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,1661.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,560.0,1.0,41.0,0.0,0.0,20504.0,11269.0,-554.0,-2.6308291385696645,-319.0,-235.0
